,FacilityName,Latitude,Longitude,LocationAddress,City,State,ZIP,County,FIPScode,PrimaryNAICS,SecondPrimaryNAICS,IndustryType,TRI_Air_Emissions_10_in_lbs,TRI_Air_Emissions_11_in_lbs,TRI_Air_Emissions_12_in_lbs,TRI_Air_Emissions_13_in_lbs,GHG_Direct_Emissions_10_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_14_in_metric_tons
22,HOLLINGSWORTH & VOSE FIBER CO,44.55137,-123.25701,1551 S.E. CRYSTAL LAKE DR.,CORVALLIS,OR,973332737,BENTON,41003.0,327993,,Minerals,32812.450170484306,39012.57046939572,37743.8851830668,46807.95600939676,2527459.7128938218,729578.1094225568,1905989.6179411337,1277303.6681312523,1042225.1039947931
23,PHOENIX CEMENT COMPANY,34.779716,-112.083801,601 N CEMENT PLANT RD,CLARKDALE,AZ,86324,YAVAPAI,4025.0,327310,,Minerals,35187.26315927085,38350.84994266495,646835.8260538559,25819.48891016447,96577.17417082752,105026.20922823664,218326.6747819134,58845.16502481423,232397.3181218381
24,US STEEL CORP - KEETAC,47.41326,-93.06357,1 MINE ROAD,KEEWATIN,MN,55753,ST LOUIS,27137.0,212210,,Metals,,,,,310248.469789669,84301.57142249994,292413.51259143924,41042.82326774804,278992.5415222042
25,KIMBERLY-CLARK CORP,33.416151,-81.896431,246 OLD JACKSON HIGHWAY,BEECH ISLAND,SC,29842,AIKEN,45003.0,322121,,Pulp and Paper,,,,,2972544.0715530007,908113.5400893734,337539.6987546844,329206.4496342929,1835037.662979217
26,BATTLE CREEK LANDFILL,38.622463,-78.586795,219 LANDFILL DRIVE,LURAY,VA,22835-4830,PAGE,51139.0,562212,,Waste,,,,,11979.03485920155,37278.738945107296,53167.59351433116,60125.00139239659,14917.246668190037
27,NORTH CENTRAL IOWA SANITARY LANDFILL,42.486185,-94.167733,2240 S 22ND STREET,FORT DODGE,IA,50501,WEBSTER,19187.0,562212,,Waste,,,,,330286.1099340116,260545.08971875685,125778.58452757678,68439.40576238486,176282.6186444735
28,IDAHO POWER BENNETT MOUNTAIN FACILITY,43.146999,-115.6671,2750 NE INDUSTRIAL WAY,MOUNTAIN HOME,ID,83647,ELMORE,16039.0,221112,,Power Plants,,,,,61639.1294921573,49881.92259681564,46568.40571441429,17230.33456170698,32841.90921341223
29,LINCOLNLAND AGRI-ENERGY LLC,39.004293,-87.631325,10406 N 1725TH ST,PALESTINE,IL,62451,CRAWFORD,17033.0,325193,,"Other,Waste",20670.700379383907,26298.63838163797,20457.46775008333,16426.306697426917,92512.22757837764,93008.68004976632,88163.75223641502,80072.14348606514,108087.0382878609
30,INVER HILLS GENERATING PLANT,44.7815,-93.0419,3185 117TH STREET,INVER GROVE HEIGHTS,MN,55077-5933,DAKOTA,27037.0,221112,,Power Plants,,,,,287865.07824864856,870154.2623465292,4134514.884837396,243132.7363809664,882859.343423472
31,DOMTAR - JOHNSONBURG MILL,41.49085,-78.67752,100 CENTER ST,JOHNSONBURG,PA,15845,ELK,42047.0,322121,,Pulp and Paper,30504.92414603864,18567.81315869473,26932.82381506421,24474.42354218453,77817.79392299207,40512.4685015155,55998.8177859802,42662.20463826618,56833.0169641156
32,CHEMTRADE REFINERY SOLUTIONS LP,41.681417,-83.457722,1400 OTTER CREEK RD,OREGON,OH,436161232,LUCAS,39095.0,325180,325188.0,Chemicals,78969.04362065108,176916.93932386895,85503.34928905332,103787.62058122447,3251416.813514389,432916.8805085205,298033.2952103661,601347.5813613177,246079.95617875352
33,SUNCOR ENERGY USA - DENVER (PREV. COLORADO REFINING CO.),39.805556,-104.944444,5800 BRIGHTON BLVD,COMMERCE CITY,CO,80022,ADAMS,8001.0,324110,,"Petroleum Product Suppliers,Refineries",32105.4233615087,31043.50080533115,31157.971978846144,33724.908665069626,31302.126325104127,17609.632611960704,44588.39271958818,76478.46922630633,67133.06097193972
34,GOLDEN PASS LNG TERMINAL,29.908422,-93.91986,3752 S GULFWAY DR,SABINE PASS,TX,77655,JEFFERSON,48245.0,486210,,Petroleum and Natural Gas Systems,,,,,,305540.4576638291,345267.11102578224,672572.5645384218,182746.6033244237
35,DURAFIBER TECHNOLOGIES INC SALISBURY PLANT,35.71333,-80.611666,7401 STATESVILLE BLVD,SALISBURY,NC,28147,ROWAN,37159.0,325211,325222.0,Other,42880.3985402957,38763.322500586495,38375.830444749445,36811.98582647645,2891494.7152762166,720719.2795770853,1025253.1558103372,1101864.8159906208,1689406.887565908
36,RIVERTON FACILITY,38.793745,-79.481638,1088 GERMANY VALLEY LIMESTONE RD,RIVERTON,WV,26814,PENDLETON,54071.0,327410,,Minerals,,,,,40185.892604146255,32657.05179996255,57578.09479892424,33426.072831085694,10952.698386225326
37,LAUREL HIGHLANDS LF,40.451699,-78.906873,260 LAUREL RIDGE ROAD,JOHNSTOWN,PA,15909,CAMBRIA,42021.0,562212,,Waste,,,,,47244.06713041041,42813.62804152524,69224.66639790306,43510.26396944077,60631.80516792459
38,"W&T OFFSHORE, INC.: EC 321 A",,,,OFFSHORE,LA,0,,,211111,,Petroleum and Natural Gas Systems,,,,,,414931.1576950662,1022719.961322896,454250.8765947529,1024384.5839709262
39,TWIN OAKS LANDFILL,36.045293,-83.809799,7826 OLD RUTLEDGE PIKE,KNOXVILLE,TN,37924,KNOX,47093.0,562212,,Waste,,,,,37419.78891099006,22561.86351119318,84151.70359949228,72250.98515659157,12747.755055565363
40,OG AND E/MCCLAIN ENERGY FACILITY,35.300167,-97.591167,801 NORTHEAST 34TH,NEWCASTLE,OK,73065-3600,MC CLAIN,40087.0,221112,,Power Plants,,,,,95039.01525617042,20026.41703489833,47373.21571541077,23419.06483409146,46028.82443268426
41,"GENERAL MILLS OPERATIONS, INC. - CEDAR RAPIDS",41.933677,-91.71648,4800 EDGEWOOD ROAD S.W.,CEDAR RAPIDS,IA,52404,LINN,19113.0,311230,,Other,,,,,54783.35158778146,69805.85766102202,85281.90189548649,24880.679583983096,192083.0159064895
42,GB 426 A,,,,OFFSHORE,LA,0,,,211111,,Petroleum and Natural Gas Systems,,,,,89397.30907343625,40878.63064739856,57775.00094546618,18777.14303969629,32736.875756794267
43,CROSS BARR BOOSTER STATION,31.588623,-102.231667,,ODESSA,TX,79766,ECTOR,48135.0,211111,,Petroleum and Natural Gas Systems,,,,,,,,,6107.286168915853
44,WOODVILLE RENEWABLE POWER PROJECT,30.74847,-94.43856,1580 COUNTY ROAD 1020,WOODVILLE,TX,75979,,,221119,,Power Plants,,,,,,,,,28817.905824139943
45,GEISMAR FRACTIONATION PLANT,30.218917,-91.03775,10334 HWY 75,GEISMAR,LA,70734,ASCENSION,22005.0,486210,,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",,,,,1279334.0226106923,690973.0211133203,1024863.9670483764,805582.421345408,1110085.8967809074
46,GERDAU SPECIAL STEEL NORTH AMERICA,42.202661,-84.363023,3100 BROOKLYN RD,JACKSON,MI,49203,JACKSON,26075.0,331110,331111.0,Metals,50554.47183801671,30146.977350223075,46732.23658616429,40617.93534133491,1792369.0582516163,275414.7616400149,3451082.105514632,301509.1129747036,1755278.967938685
47,TAYLOR COUNTY LANDFILL,32.449037,-84.386307,33 STEWART RD,MAUK,GA,31058,TAYLOR,13269.0,562212,,Waste,,,,,49772.4318178072,5832.05210468352,29249.126944889274,29730.08257434684,78063.21236480228
48,SAFETY-KLEEN SYSTEMS INC.,41.648417,-87.482414,601 RILEY RD,EAST CHICAGO,IN,463121638,LAKE,18089.0,324191,,Petroleum and Natural Gas Systems,18653.88847819504,9771.42065228772,18899.716216622208,18415.438878843623,904558.2090965076,400163.1827410771,487467.9451605047,540400.0433655935,716144.6647727073
49,SMITH COMPRESSOR STATION,,,,SMITH TOWNSHIP,PA,15379,WASHINGTON,42125.0,486210,,Petroleum and Natural Gas Systems,,,,,,,,,21200.18607863385
50,CITY OF THOMASVILLE MUNICIPAL SOLID WASTE LANDFILL,30.8037,-83.9129,88 LANDFILL ROAD,THOMASVILLE,GA,31757,THOMAS,13275.0,562212,,Waste,,,,,95290.15403560776,90438.8554409833,65884.03137701523,55812.1624299784,92697.055459467
51,TAMINCO US INC,30.60356,-87.13305,4575 HIGHWAY 90 EAST,PACE,FL,325712043,SANTA ROSA,12113.0,325199,,Chemicals,29640.799570676973,31892.78846925548,134309.66767378137,30671.907052466453,17535.339721536082,16011.944244638522,80815.07307024792,40464.40526223935,54460.47303720514
52,ATK-ALLEGANY BALLISTICS LAB (NIROP),39.56097,-78.84361,210 STATE ROUTE 956,ROCKET CENTER,WV,267269219,MINERAL,54057.0,336415,,Other,30036.65705375016,44301.47743597066,35525.008642421664,33334.568005720306,294328.91611073056,269250.7719166701,301468.47841626103,276576.7597230908,358230.4438426841
53,ONEOK HYDROCARBON LP MCPHERSON BUTANE ISOMERIZATION PLANT,38.37697,-97.835745,462 US HIGHWAY 56,MCPHERSON,KS,67460,MCPHERSON,20113.0,325110,,Chemicals,32143.04841729859,30614.00225290596,26951.845340578755,30904.88679475283,69648.74233955637,60191.68551154347,147893.48470647662,28045.588414619702,52627.734760044645
54,LAFARGE MIDWEST INC JOPPA PLANT,37.216953,-88.881162,2500 PORTLAND RD,GRAND CHAIN,IL,62941,MASSAC,17127.0,327310,,Minerals,416890.8436762714,216603.8069080633,589303.5564710327,412249.61987324327,444489.90065517166,732417.2863404778,312539.3983869518,326112.6153135483,3115016.0008912566
55,ROHM & HAAS - LOUISVILLE PLANT,38.21146,-85.84261,4300 CAMP GROUND RD,LOUISVILLE,KY,40216,JEFFERSON,21111.0,325211,,Other,412905.1461455278,19909.2154866599,323043.86233009485,48280.867797759725,93026.3327092823,661864.2312802018,162989.9847903117,215349.1126717923,92021.26691681144
56,WISCONSIN RAPIDS PAPER MILL,44.394583,-89.827238,310 3RD AVE N,WISCONSIN RAPIDS,WI,54495,WOOD,55141.0,322121,,Pulp and Paper,27552.27227107412,29985.39013281277,24456.19464274288,33249.57774726804,37951.5200089931,24893.36301657688,29428.4077936304,30064.77322877398,57793.95202652602
57,HARBOR GENERATING STATION,33.7691,-118.2662,161 NORTH ISLAND AVENUE,WILMINGTON,CA,90744-6303,LOS ANGELES,6037.0,221112,,Power Plants,,,,,70367.73070714987,35053.865118308655,56699.157022405016,54226.8670794832,100923.00096454668
58,B&B LANDFILL,33.7781,-95.5682,6 MILES NORTH OF PARIS CITY LIMITS OFF CR 33900,PARIS,TX,75473,LAMAR,48277.0,562212,,Waste,,,,,66523.82328590666,205960.3314552196,517453.9784416988,188237.7127923424,165153.32010183582
59,ROCHDALE VILLAGE,40.677395,-73.769735,132-11 BEDELL ST,JAMAICA,NY,11434-3938,QUEENS,36081.0,813990,,Other,,,,,83273.98031127497,29292.933880251763,27332.830681482283,4485.882211087141,28960.365049516247
60,"SOUTH CAROLINA ELECTRIC & GAS, WILLIAMS STATION",33.016174,-79.928609,2242 B US HY PARK RD,GOOSE CREEK,SC,29445,BERKELEY,45015.0,221112,,"Petroleum and Natural Gas Systems,Power Plants",28984.6684392757,24208.386127206548,56331.06001209142,145845.7174997529,178666.25604978827,80948.97473048688,223269.5571395484,38794.67289264398,33761.385349008924
61,CEMEX MIAMI,25.786463,-80.421113,1200 NW 137 AVE,MIAMI,FL,33182,MIAMI-DADE,12086.0,327310,,Minerals,33983.97734779138,34076.58496745156,114596.37661576968,26349.423278128103,215020.5241262012,43242.63202685007,104667.3514750309,128240.84324256956,62319.72376462069
62,OXBOW MIDWEST CALCINING LLC,41.662231,-88.03786,12308 S NEW AVE,LEMONT,IL,60439,WILL,17197.0,324199,,Petroleum and Natural Gas Systems,25369.548206749885,29051.47226293137,29527.224786221963,30810.441251909982,35332.22965962655,28672.63332480319,72041.55588230929,38463.1055376935,54046.532524934366
63,CANTON DROP FORGE,40.7815,-81.43072,4575 SOUTHWAY ST SW,CANTON,OH,44706,STARK,39151.0,332111,,Other,38721.10772268532,34795.03522565147,39381.38396904116,45300.4414511028,158887.3043551622,47492.49834302287,136593.44174431605,58414.013236493774,60152.8685351257
64,NEWPORT-LAGUNA COMPRESSOR STATION,44.016,-105.9864,"W1/2 OF SECTION 27, T47N, R76W",GILLETTE,WY,82716,CAMPBELL,56005.0,211111,,Petroleum and Natural Gas Systems,,,,,225229.1151244085,82893.50356621813,81423.5090504996,84081.85770549011,56297.35082584176
65,ATMOS ENERGY CORPORATION - TENNESSEE,32.92548,-96.81613,5430 LBJ FREEWAY,DALLAS,TX,75240,DALLAS,48113.0,486210,,Petroleum and Natural Gas Systems,,,,,54165.55086347951,65973.46250556351,76560.95158748628,55795.08839283935,67887.73302846267
66,US TVA MAGNOLIA COMBINED CYCLE PLANT,34.827523,-89.193387,352 HIGHWAY 4 WEST,ASHLAND,MS,38603,BENTON,28009.0,221112,,Power Plants,19413.364490307853,18553.835577776503,18521.034120664663,16953.670103499288,72198.89788603163,34008.96130076585,27801.51878174848,15389.98298827147,41671.56813876444
67,LARIMER COUNTY LANDFILL,40.49803,-105.12032,5887 SOUTH TAFT HILL ROAD,FORT COLLINS,CO,80526-3467,LARIMER,8069.0,562212,,Waste,,,,,316186.53798108234,59060.86566024416,220608.60174615303,206771.8835850197,225312.9291406908
68,HAYNES GENERATING STATION,33.7639,-118.0948,6801 WESTMINSTER AVENUE,LONG BEACH,CA,90803-4324,LOS ANGELES,6037.0,221112,,Power Plants,,,,,79854.3191242285,132318.3301301651,82419.6231759678,73460.14555081878,80482.03657360002
69,CARGILL INC  SALT DIV,38.04297,-97.91929,609 EAST AVENUE G,HUTCHINSON,KS,67501-7574,RENO,20155.0,311942,,Other,,,,,767134.679878539,711710.662444744,4862943.946915228,507450.58620752906,1840463.6692962127
70,MAGIC VALLEY GENERATING ST,26.3403,-98.19,3333 N MCCOLL RD,EDINBURG,TX,78539,HIDALGO,48215.0,221112,,Power Plants,,,,,33448.006084079054,50484.16981083364,74559.95104388545,40269.489023600414,71230.21069888282
71,SCHERING CORP,40.685435,-74.231063,1011 MORRIS AVENUE,UNION,NJ,07083-7120,UNION,34039.0,541711,,Other,,,,,60756.74491477864,76187.83653985817,69069.0504459344,49482.114362781125,47085.45945121148
72,GOULD STREET GENERATING STATION,39.2665,-76.6042,2105 GOULD STREET,BALTIMORE,MD,21230-5011,BALTIMORE CITY,24510.0,221112,,Power Plants,,,,,52730.76360617683,38866.00962254047,62470.47609683662,46876.61643505836,44765.13227503186
73,NATIONAL GRID EF BARRETT POWER STATION,40.61366,-73.6461,1 MCCARTHY ROAD,ISLAND PARK,NY,11558,NASSAU,36059.0,221112,,Power Plants,70826.37117395917,17364.43086919794,26634.963523069124,21298.05031187496,81296.43190365893,47740.7699354327,597206.40584884,64845.49975498127,46753.28809253557
74,CEDAR ENERGY STATION,39.68934,-74.26173,261 S MAIN ST,STAFFORD TOWNSHIP,NJ,8050,OCEAN,34029.0,221112,,Power Plants,,,,,70446.14125936592,29045.377634253346,198445.7741823716,62597.35114445319,69112.4730241995
75,GPLC JOLIET SALES,41.4504,-88.1833,,JOLIET,IL,60410,WILL,17197.0,486210,,Petroleum and Natural Gas Systems,,,,,,,,,19067.67709551444
76,MIDDLEBORO SANITARY LANDFILL,41.9257,-70.83147,207 PLYMPTON ST,MIDDLEBOROUGH,MA,2346,PLYMOUTH,25023.0,562212,,Waste,,,,,63734.60233878022,611886.2970552235,164902.53483629247,586210.8293517712,35925.37376296264
77,MAXIMUS COFFEE GROUP,29.7458,-95.3375,3900 HARRISBURG BLVD,HOUSTON,TX,77003,HARRIS,48201.0,311920,,Other,,,,,311386.87003659026,49388.63387194959,60525.22365760392,36435.21012404473,47146.59492410261
78,"UNIVERSITY OF CALIFORNIA, IRVINE",33.64193,-117.85109,4600 HEALTH SCIENCES ROAD,IRVINE,CA,92697,ORANGE,6059.0,611310,,Other,,,,,203186.0449285676,47804.8935389222,226265.99903440857,92485.07906624576,70166.35506781313
79,LA PAZ COUNTY REGIONAL LANDFILL,33.943591,-114.19503,26999 HIGHWAY 95,PARKER,AZ,85344,LA PAZ,4012.0,562212,,Waste,,,,,31202.28911648492,50317.07782884198,75946.01018199633,55648.90797806805,109986.0312773474
80,DESOTO GATHERING/MIDGE CPF-5,35.41179,-91.88616,880 LONG BRANCH ROAD,HEBER SPRINGS,AR,72543,CLEBURNE,5023.0,213112,,Petroleum and Natural Gas Systems,,,,,,78509.89005457383,46104.883212352186,50885.642616900885,20093.95215451337
81,SALEM WASTE DISPOSAL CENTER INC,32.64737,-85.36946,4210 LEE RD #183,OPELIKA,AL,36804-8653,LEE,1081.0,562212,,Waste,,,,,312550.4256490493,268729.0410197235,298565.083767729,233544.26793576777,218641.0921412873
82,MCCOMBS LANDFILL,31.928504,-106.4076,136000 MCCOMBS,EL PASO,TX,79934,EL PASO,48141.0,562212,,Waste,,,,,53137.88149673255,33799.66998413943,46410.61629087985,13897.182298972635,23840.13322960575
83,NATURAL GAS PIPELINE CO OF AMERICA #198,41.292786,-93.033437,1616 165TH AVE(NEWBOLD&OREGAN),KNOXVILLE,IA,50138,MARION,19125.0,486210,,Petroleum and Natural Gas Systems,,,,,59213.802985284114,28794.002952120307,36946.89562343894,30604.971106845085,38850.12473933369
84,SCA TISSUE NA BARTON OPERATIONS,34.75942,-87.89004,1834 HALEY DR,CHEROKEE,AL,35616,COLBERT,1033.0,322121,,Pulp and Paper,41279.66443786759,31112.859163121862,34392.47219258468,30738.208805595565,88306.27324914066,22750.70519798357,80104.32365449597,73863.75819008143,67709.28144209867
85,EOG RESOURCES SOUTH BOWIE COMPRESSOR STATION,33.49623,-97.75328,2219 SYMRNA ROAD,SUNSET,TX,76270,MONTAGUE,48337.0,211111,,Petroleum and Natural Gas Systems,,,,,,,,83901.88507259579,46237.68275746395
86,PHILADELPHIA ROAD GENERATING,39.29824,-76.56381,3914 PULASKI HWY,BALTIMORE,MD,21205,BALTIMORE CITY,24510.0,221112,,Power Plants,,,,,49676.81238868527,24685.775835770124,29391.37229936361,35839.25046876349,40350.75968892568
87,INTERNATIONAL PAPER-PINE HILL MILL,31.969744,-87.480695,7600 HWY 10 W,PINE HILL,AL,36769,WILCOX,1131.0,322121,322130.0,"Pulp and Paper,Waste",46552.70676041716,37366.94476797577,35786.981087231565,42160.48263076184,62517.13604987645,65961.40720951256,100048.21865777456,74365.2412712498,61905.76316337045
88,NATIONAL GRID - NORTHPORT POWER STATION,40.923488,-73.342561,301 WATERSIDE AVE,NORTHPORT,NY,11768,SUFFOLK,36103.0,221112,,Power Plants,281210.451427871,108502.67048399666,195805.91545007617,84665.4249165109,3106827.4090724792,312173.3178960231,3625289.228292252,157034.63887103804,1946250.896477264
89,GEORGE SULLIVAN POWER PLANT 2,61.230524,-149.715677,8670 GLENN HWY,ANCHORAGE,AK,99504,ANCHORAGE,2020.0,221112,,Power Plants,,,,,86787.64665617948,30422.80034324508,48163.79380153381,48287.33963743227,33424.16937616453
90,ORANGE COUNTY LANDFILL,28.48079,-81.21875,5901 YOUNG PINE RD,ORLANDO,FL,32829,ORANGE,12095.0,562212,,Waste,,,,,427.314503027912,17228.077090228056,76669.28847946381,10469.56875511723,21098.51457181594
91,MAYSVILLE-MASON COUNTY LANDFIL,38.581854,-83.717812,7055 CLARKSON-SHERMAN ROAD,MAYSVILLE,KY,41056-9486,MASON,21161.0,562212,,Waste,,,,,53246.790717536365,50403.94297835764,85754.67865897404,45823.56278365669,51932.93465715334
92,GREAT RIVER ENERGY PLEASANT VALLEY,43.804705,-92.680721,68435 310TH STREET,DEXTER,MN,55926-7180,MOWER,27099.0,221112,,Power Plants,,,,,43204.65198689241,41624.91396000847,23688.73636770484,22694.162906743688,46515.04882285454
93,DOUBLE BUTTE DISPOSAL SITE LANDFILL,33.752909,-116.056224,"GRAND AVE, 600 FT W WINCHESTER",WINCHESTER,CA,92596,RIVERSIDE,6065.0,562212,,Waste,,,,,29973.274567751378,18489.603914750376,50431.77001528437,37861.06280083268,11797.05946416284
94,"KMTP STATION 581 MARKHAM, TX",28.995709,-96.152314,7197 FM 1468 N,BAY CITY,TX,77414,MATAGORDA,48321.0,486210,,Petroleum and Natural Gas Systems,,,,,,,,,1029198.8728094737
95,LES-TERRY BUNDY GENERATING STATION,40.91457,-96.6221,7707 BLUFF RD,LINCOLN,NE,685179803,LANCASTER,31109.0,221118,221112.0,Power Plants,31159.333400245057,29902.637345334995,22615.49130742804,27804.508742815306,308589.21703882085,210716.2452124648,233864.5343827858,210882.496149889,176064.42981420964
96,VALLEY PROTEINS INC-ROSE HILL FACILITY,34.838207,-78.035053,469 YELLOW CUT RD,ROSE HILL,NC,28458,DUPLIN,37061.0,311613,,Other,38759.901460931775,142540.38085095538,32485.58938970304,33216.23340901888,931760.2086783889,750968.4181906554,764498.5336299834,764341.3056952765,1299150.6206446895
97,SID RICHARDSON CARBON CO,35.665516,-101.435748,9455 FM 1559,BORGER,TX,79007,HUTCHINSON,48233.0,325180,325182.0,Chemicals,34700.87151819393,26063.433239543963,32480.75708201897,31938.127812606774,66874.15440684998,86354.70107417743,78540.36500394944,45912.0397994528,53605.17173738752
